"","exp.fixef.model_agg..","2.5 %","97.5 %"
"(Intercept)",0.000256236718942348,0.000235501198826434,0.000278797969868212
"age_factor(74,84]",2.09090027068149,2.04002777441155,2.14304138246206
"age_factor(84,110]",3.5127959180998,3.41581372398689,3.61253164233319
"race_factorBlack",1.2640003380661,1.23015658063669,1.29877519640979
"race_factorHispanic",0.737553982685004,0.642138545641133,0.847147210001818
"race_factorOther",0.77577645083789,0.692646618222728,0.868883332194525
"race_factorAsian",0.590387329669015,0.522379233081247,0.667249341015626
"sex_factorMale",1.22649010263181,1.20029007870731,1.25326202268861
"pct_hh_below_pl",1.48646676779759,1.0416413645532,2.12125163895964
"pct_w_bach",0.404865494229043,0.351412337178237,0.466449384599119
